date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:21	45404/45404	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22d81301-b15c-520de2b4f5040%22	https://p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.ttf	(from https://p.w3layouts.com/demos/my_play/web/css/bootstrap.min.css)
13:16:22	3180/3180	---M--	200	added ('OK')	image/png	etag:%22d81306-c6c-520de2b9b9b80%22	https://p.w3layouts.com/demos/my_play/web/images/9.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/9.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:22	3545/3545	---M--	200	added ('OK')	image/png	etag:%22d81371-dd9-520de2fd6fb40%22	https://p.w3layouts.com/demos/my_play/web/images/themes.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/themes.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:23	359/359	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Sep%202017%2010:16:21%20GMT	https://p.w3layouts.com/demos/my_play/web/images/img-resources.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/img-resources.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:23	3174/3174	---M--	200	added ('OK')	image/png	etag:%22d8137a-c66-520de30510d40%22	https://p.w3layouts.com/demos/my_play/web/images/u12.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/u12.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:23	2815/2815	---M--	200	added ('OK')	image/png	etag:%22d81366-aff-520de2f5ce940%22	https://p.w3layouts.com/demos/my_play/web/images/select-arrow.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/select-arrow.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:24	3070/3070	---M--	200	added ('OK')	image/png	etag:%22d81304-bfe-520de2b8c5940%22	https://p.w3layouts.com/demos/my_play/web/images/12.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/12.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:24	3170/3170	---M--	200	added ('OK')	image/png	etag:%22d81305-c62-520de2b8c5940%22	https://p.w3layouts.com/demos/my_play/web/images/13.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/13.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:24	3255/3255	---M--	200	added ('OK')	image/png	etag:%22d8132e-cb7-520de2d379840%22	https://p.w3layouts.com/demos/my_play/web/images/like.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/like.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
13:16:25	2972/2972	---M--	200	added ('OK')	image/png	etag:%22d8131d-b9c-520de2c8fbf80%22	https://p.w3layouts.com/demos/my_play/web/images/fb.png	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/fb.png	(from https://p.w3layouts.com/demos/my_play/web/css/style.css)
